each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0(0.5):B220,000.00,[100.00,160.00,100.00]	5(0.5):A100,000.00,[100.00,100.00,100.00]	10(0.5):C180,000.00,[100.00,100.00,140.00]	15(0.5):B000,000.00,[100.00,050.00,100.00]	20(0.5):C000,000.00,[100.00,100.00,050.00]	25(0.5):B000,000.00,[100.00,050.00,100.00]	30(0.5):A100,000.00,[100.00,100.00,100.00]	35(0.5):B220,000.00,[100.00,160.00,100.00]	40(0.5):B000,000.00,[100.00,050.00,100.00]	45(0.5):B220,000.00,[100.00,160.00,100.00]	
0(0.5):A100,002.00,[100.00,085.79,056.64]	5(0.5):A100,002.00,[100.00,016.88,035.06]	10(0.5):A100,002.00,[100.00,025.00,024.69]	15(0.5):A100,002.00,[100.00,001.56,024.89]	20(0.5):A100,002.00,[100.00,006.25,009.22]	25(0.5):B000,000.00,[100.00,086.13,012.50]	30(0.5):A100,002.00,[100.00,018.81,032.10]	35(0.5):B220,004.40,[100.00,189.44,021.97]	40(0.5):C000,000.00,[100.00,009.61,012.03]	45(0.5):A100,002.00,[100.00,003.10,004.10]	
0(0.5):A100,004.00,[100.00,085.79,056.64]	5(0.5):A100,004.00,[100.00,016.88,035.06]	10(0.5):A100,004.00,[100.00,025.00,024.69]	15(0.5):A100,004.00,[100.00,001.56,024.89]	20(0.5):A100,004.00,[100.00,006.25,009.22]	25(0.5):A100,002.00,[100.00,086.13,012.50]	30(0.5):A100,004.00,[100.00,018.81,032.10]	35(0.5):B220,008.80,[100.00,204.72,021.97]	40(0.5):A100,002.00,[100.00,009.61,012.03]	45(0.5):A100,004.00,[100.00,003.10,004.10]	
0(0.5):B220,008.40,[100.00,152.90,056.64]	5(0.5):A100,006.00,[100.00,016.88,035.06]	10(0.5):A100,006.00,[100.00,025.00,024.69]	15(0.5):A100,006.00,[100.00,001.56,024.89]	20(0.5):A100,006.00,[100.00,006.25,009.22]	25(0.5):A100,004.00,[100.00,086.13,012.50]	30(0.5):A100,006.00,[100.00,018.81,032.10]	35(0.5):B220,013.20,[100.00,212.36,021.97]	40(0.5):A100,004.00,[100.00,009.61,012.03]	45(0.5):A100,006.00,[100.00,003.10,004.10]	
0(0.5):B000,008.40,[100.00,076.45,056.64]	5(0.5):A100,008.00,[100.00,016.88,035.06]	10(0.5):A100,008.00,[100.00,025.00,024.69]	15(0.5):A100,008.00,[100.00,001.56,024.89]	20(0.5):A100,008.00,[100.00,006.25,009.22]	25(0.5):A100,006.00,[100.00,086.13,012.50]	30(0.5):A100,008.00,[100.00,018.81,032.10]	35(0.5):B000,013.20,[100.00,106.18,021.97]	40(0.5):A100,006.00,[100.00,009.61,012.03]	45(0.5):A100,008.00,[100.00,003.10,004.10]	
0(0.5):A100,010.40,[100.00,076.45,056.64]	5(0.5):A100,010.00,[100.00,016.88,035.06]	10(0.5):A100,010.00,[100.00,025.00,024.69]	15(0.5):A100,010.00,[100.00,001.56,024.89]	20(0.5):A100,010.00,[100.00,006.25,009.22]	25(0.5):A100,008.00,[100.00,086.13,012.50]	30(0.5):A100,010.00,[100.00,018.81,032.10]	35(0.5):A100,015.20,[100.00,106.18,021.97]	40(0.5):A100,008.00,[100.00,009.61,012.03]	45(0.5):A100,010.00,[100.00,003.10,004.10]	
0(0.5):A100,012.40,[100.00,076.45,056.64]	5(0.5):B000,010.00,[100.00,008.44,035.06]	10(0.5):A100,012.00,[100.00,025.00,024.69]	15(0.5):A100,012.00,[100.00,001.56,024.89]	20(0.5):A100,012.00,[100.00,006.25,009.22]	25(0.5):A100,010.00,[100.00,086.13,012.50]	30(0.5):A100,012.00,[100.00,018.81,032.10]	35(0.5):B000,015.20,[100.00,053.09,021.97]	40(0.5):A100,010.00,[100.00,009.61,012.03]	45(0.5):A100,012.00,[100.00,003.10,004.10]	
0(0.5):A100,014.40,[100.00,076.45,056.64]	5(0.5):A100,012.00,[100.00,008.44,035.06]	10(0.5):A100,014.00,[100.00,025.00,024.69]	15(0.5):A100,014.00,[100.00,001.56,024.89]	20(0.5):A100,014.00,[100.00,006.25,009.22]	25(0.5):A100,012.00,[100.00,086.13,012.50]	30(0.5):A100,014.00,[100.00,018.81,032.10]	35(0.5):A100,017.20,[100.00,053.09,021.97]	40(0.5):A100,012.00,[100.00,009.61,012.03]	45(0.5):A100,014.00,[100.00,003.10,004.10]	
0(0.5):B000,014.40,[100.00,038.22,056.64]	5(0.5):A100,014.00,[100.00,008.44,035.06]	10(0.5):A100,016.00,[100.00,025.00,024.69]	15(0.5):A100,016.00,[100.00,001.56,024.89]	20(0.5):A100,016.00,[100.00,006.25,009.22]	25(0.5):A100,014.00,[100.00,086.13,012.50]	30(0.5):A100,016.00,[100.00,018.81,032.10]	35(0.5):A100,019.20,[100.00,053.09,021.97]	40(0.5):A100,014.00,[100.00,009.61,012.03]	45(0.5):A100,016.00,[100.00,003.10,004.10]	
0(0.5):A100,016.40,[100.00,038.22,056.64]	5(0.5):A100,016.00,[100.00,008.44,035.06]	10(0.5):A100,018.00,[100.00,025.00,024.69]	15(0.5):A100,018.00,[100.00,001.56,024.89]	20(0.5):A100,018.00,[100.00,006.25,009.22]	25(0.5):A100,016.00,[100.00,086.13,012.50]	30(0.5):A100,018.00,[100.00,018.81,032.10]	35(0.5):A100,021.20,[100.00,053.09,021.97]	40(0.5):A100,016.00,[100.00,009.61,012.03]	45(0.5):A100,018.00,[100.00,003.10,004.10]	
0(0.5):A100,018.40,[100.00,038.22,056.64]	5(0.5):A100,018.00,[100.00,008.44,035.06]	10(0.5):A100,020.00,[100.00,025.00,024.69]	15(0.5):A100,020.00,[100.00,001.56,024.89]	20(0.5):A100,020.00,[100.00,006.25,009.22]	25(0.5):A100,018.00,[100.00,086.13,012.50]	30(0.5):A100,020.00,[100.00,018.81,032.10]	35(0.5):A100,023.20,[100.00,053.09,021.97]	40(0.5):A100,018.00,[100.00,009.61,012.03]	45(0.5):A100,020.00,[100.00,003.10,004.10]	
0(0.5):A100,020.40,[100.00,038.22,056.64]	5(0.5):A100,020.00,[100.00,008.44,035.06]	10(0.5):A100,022.00,[100.00,025.00,024.69]	15(0.5):A100,022.00,[100.00,001.56,024.89]	20(0.5):A100,022.00,[100.00,006.25,009.22]	25(0.5):A100,020.00,[100.00,086.13,012.50]	30(0.5):A100,022.00,[100.00,018.81,032.10]	35(0.5):A100,025.20,[100.00,053.09,021.97]	40(0.5):A100,020.00,[100.00,009.61,012.03]	45(0.5):A100,022.00,[100.00,003.10,004.10]	
0(0.5):A100,022.40,[100.00,038.22,056.64]	5(0.5):A100,022.00,[100.00,008.44,035.06]	10(0.5):A100,024.00,[100.00,025.00,024.69]	15(0.5):A100,024.00,[100.00,001.56,024.89]	20(0.5):A100,024.00,[100.00,006.25,009.22]	25(0.5):A100,022.00,[100.00,086.13,012.50]	30(0.5):A100,024.00,[100.00,018.81,032.10]	35(0.5):A100,027.20,[100.00,053.09,021.97]	40(0.5):A100,022.00,[100.00,009.61,012.03]	45(0.5):A100,024.00,[100.00,003.10,004.10]	
0(0.5):C000,022.40,[100.00,038.22,028.32]	5(0.5):A100,024.00,[100.00,008.44,035.06]	10(0.5):A100,026.00,[100.00,025.00,024.69]	15(0.5):A100,026.00,[100.00,001.56,024.89]	20(0.5):A100,026.00,[100.00,006.25,009.22]	25(0.5):B220,026.40,[100.00,153.07,012.50]	30(0.5):A100,026.00,[100.00,018.81,032.10]	35(0.5):A100,029.20,[100.00,053.09,021.97]	40(0.5):A100,024.00,[100.00,009.61,012.03]	45(0.5):A100,026.00,[100.00,003.10,004.10]	
0(0.5):A100,024.40,[100.00,038.22,028.32]	5(0.5):A100,026.00,[100.00,008.44,035.06]	10(0.5):A100,028.00,[100.00,025.00,024.69]	15(0.5):A100,028.00,[100.00,001.56,024.89]	20(0.5):A100,028.00,[100.00,006.25,009.22]	25(0.5):B220,030.80,[100.00,186.53,012.50]	30(0.5):A100,028.00,[100.00,018.81,032.10]	35(0.5):A100,031.20,[100.00,053.09,021.97]	40(0.5):A100,026.00,[100.00,009.61,012.03]	45(0.5):A100,028.00,[100.00,003.10,004.10]	
0(0.5):A100,026.40,[100.00,038.22,028.32]	5(0.5):A100,028.00,[100.00,008.44,035.06]	10(0.5):A100,030.00,[100.00,025.00,024.69]	15(0.5):A100,030.00,[100.00,001.56,024.89]	20(0.5):A100,030.00,[100.00,006.25,009.22]	25(0.5):B220,035.20,[100.00,203.27,012.50]	30(0.5):A100,030.00,[100.00,018.81,032.10]	35(0.5):A100,033.20,[100.00,053.09,021.97]	40(0.5):A100,028.00,[100.00,009.61,012.03]	45(0.5):A100,030.00,[100.00,003.10,004.10]	
0(0.5):A100,028.40,[100.00,038.22,028.32]	5(0.5):A100,030.00,[100.00,008.44,035.06]	10(0.5):A100,032.00,[100.00,025.00,024.69]	15(0.5):A100,032.00,[100.00,001.56,024.89]	20(0.5):A100,032.00,[100.00,006.25,009.22]	25(0.5):B220,039.60,[100.00,211.63,012.50]	30(0.5):A100,032.00,[100.00,018.81,032.10]	35(0.5):A100,035.20,[100.00,053.09,021.97]	40(0.5):A100,030.00,[100.00,009.61,012.03]	45(0.5):A100,032.00,[100.00,003.10,004.10]	
0(0.5):A100,030.40,[100.00,038.22,028.32]	5(0.5):A100,032.00,[100.00,008.44,035.06]	10(0.5):A100,034.00,[100.00,025.00,024.69]	15(0.5):A100,034.00,[100.00,001.56,024.89]	20(0.5):A100,034.00,[100.00,006.25,009.22]	25(0.5):B220,044.00,[100.00,215.82,012.50]	30(0.5):A100,034.00,[100.00,018.81,032.10]	35(0.5):A100,037.20,[100.00,053.09,021.97]	40(0.5):A100,032.00,[100.00,009.61,012.03]	45(0.5):A100,034.00,[100.00,003.10,004.10]	
0(0.5):C180,034.00,[100.00,038.22,104.16]	5(0.5):B000,032.00,[100.00,004.22,035.06]	10(0.5):A100,036.00,[100.00,025.00,024.69]	15(0.5):A100,036.00,[100.00,001.56,024.89]	20(0.5):A100,036.00,[100.00,006.25,009.22]	25(0.5):B000,044.00,[100.00,107.91,012.50]	30(0.5):A100,036.00,[100.00,018.81,032.10]	35(0.5):A100,039.20,[100.00,053.09,021.97]	40(0.5):A100,034.00,[100.00,009.61,012.03]	45(0.5):A100,036.00,[100.00,003.10,004.10]	
0(0.5):C180,037.60,[100.00,038.22,142.08]	5(0.5):A100,034.00,[100.00,004.22,035.06]	10(0.5):A100,038.00,[100.00,025.00,024.69]	15(0.5):A100,038.00,[100.00,001.56,024.89]	20(0.5):A100,038.00,[100.00,006.25,009.22]	25(0.5):A100,046.00,[100.00,107.91,012.50]	30(0.5):A100,038.00,[100.00,018.81,032.10]	35(0.5):A100,041.20,[100.00,053.09,021.97]	40(0.5):A100,036.00,[100.00,009.61,012.03]	45(0.5):A100,038.00,[100.00,003.10,004.10]	
0(0.5):C000,037.60,[100.00,038.22,071.04]	5(0.5):A100,036.00,[100.00,004.22,035.06]	10(0.5):A100,040.00,[100.00,025.00,024.69]	15(0.5):A100,040.00,[100.00,001.56,024.89]	20(0.5):A100,040.00,[100.00,006.25,009.22]	25(0.5):A100,048.00,[100.00,107.91,012.50]	30(0.5):A100,040.00,[100.00,018.81,032.10]	35(0.5):A100,043.20,[100.00,053.09,021.97]	40(0.5):A100,038.00,[100.00,009.61,012.03]	45(0.5):A100,040.00,[100.00,003.10,004.10]	
0(0.5):A100,039.60,[100.00,038.22,071.04]	5(0.5):A100,038.00,[100.00,004.22,035.06]	10(0.5):A100,042.00,[100.00,025.00,024.69]	15(0.5):A100,042.00,[100.00,001.56,024.89]	20(0.5):A100,042.00,[100.00,006.25,009.22]	25(0.5):B220,052.40,[100.00,163.95,012.50]	30(0.5):A100,042.00,[100.00,018.81,032.10]	35(0.5):A100,045.20,[100.00,053.09,021.97]	40(0.5):A100,040
